Devices;Sensors;Databases;QuerySenders;Links;Real Initialization Time;Real Simulation Time;Simulation Time;Sent Packages;Traffic In Kilobytes;SentDatabasePackages;SentSamplePackages;SentDIOPackages;SentDAOPackages;ForwardedPackages;SamplesMade;QueriesMade;Protocol Signal Range
2;0;0;0;1;0.709;0.834;0.002;2;0.082;0;0;1;1;0;0;0;600
5;0;0;0;8;0.003;0.029;0.002;16;0.664;0;0;12;4;0;0;0;570
5;0;0;0;8;0.002;0.079;0.002;16;0.664;0;0;12;4;0;0;0;540
2;0;0;0;1;0.001;0.048;0.002;2;0.082;0;0;1;1;0;0;0;600
5;0;0;0;8;0.003;0.053;0.002;16;0.664;0;0;12;4;0;0;0;570
5;0;0;0;8;0.003;0.035;0.002;16;0.664;0;0;12;4;0;0;0;540
5;0;0;0;8;0.002;0.034;0.002;16;0.664;0;0;12;4;0;0;0;510
5;0;0;0;8;0.003;0.027;0.002;16;0.664;0;0;12;4;0;0;0;480
5;0;0;0;8;0.007;0.04;0.002;16;0.664;0;0;12;4;0;0;0;450
5;0;0;0;8;0.002;0.026;0.002;16;0.664;0;0;12;4;0;0;0;420
5;0;0;0;8;0.002;0.037;0.002;16;0.664;0;0;12;4;0;0;0;390
5;0;0;0;8;0.002;0.042;0.002;16;0.664;0;0;12;4;0;0;0;360
6;0;0;0;8;0.002;0.044;2.01;19;0.91;0;0;11;8;0;0;0;330
10;0;0;0;16;0.002;0.077;2.014;40;1.936;0;0;24;16;0;0;0;300
10;0;0;0;16;0.007;0.074;2.011;41;1.944;0;0;24;17;0;0;0;270
10;0;0;0;16;0.007;0.038;2.011;41;1.944;0;0;24;17;0;0;0;240
13;0;0;0;19;0.002;0.061;3.018;49;2.684;0;0;26;23;0;0;0;210
17;0;0;0;27;0.003;0.083;3.019;77;4.314;0;0;41;36;0;0;0;180
26;0;0;0;44;0.003;0.17;5.044;192;11.57;0;0;105;87;0;0;0;150
37;0;0;0;63;0.004;0.312;6.059;295;20.714;0;0;169;126;0;0;0;120
66;0;0;0;129;0.011;0.476;8.101;536;45.234;0;0;297;239;0;0;0;90
161;0;0;0;358;0.015;2.897;13.23;2920;255.492;0;0;2034;886;0;0;0;60
581;0;0;0;1291;0.124;19.779;29.227;15904;2520.384;0;0;11968;3936;0;0;0;30
