Devices;Sensors;Databases;QuerySenders;Links;Real Initialization Time;Real Simulation Time;Simulation Time;Sent Packages;Traffic In Kilobytes;SentDatabasePackages;SentSamplePackages;SentDIOPackages;SentDAOPackages;ForwardedPackages;SamplesMade;QueriesMade
1;0;1;0;0;0.00197;0.02069;0;0;0;0;0;0;0;0;0;0
50;0;50;0;49;0.01104;0.00963;0.002;0;0;0;0;49;49;0;0;0
100;0;100;0;99;0.02509;0.01428;0.002;0;0;0;0;99;99;0;0;0
150;0;150;0;149;0.04123;0.02324;0.002;0;0;0;0;149;149;0;0;0
1;0;1;0;0;2.90E-04;8.00E-05;0;0;0;0;0;0;0;0;0;0
50;0;50;0;49;0.01476;0.00484;0.002;0;0;0;0;49;49;0;0;0
100;0;100;0;99;0.02561;0.01299;0.002;0;0;0;0;99;99;0;0;0
150;0;150;0;149;0.04083;0.02371;0.002;0;0;0;0;149;149;0;0;0
200;0;200;0;199;0.05834;0.04538;0.002;0;0;0;0;199;199;0;0;0
250;0;250;0;249;0.05576;0.08097;0.002;0;0;0;0;249;249;0;0;0
300;0;300;0;299;0.07748;0.10945;0.002;0;0;0;0;299;299;0;0;0
350;0;350;0;349;0.08816;0.13039;0.002;0;0;0;0;349;349;0;0;0
400;0;400;0;399;0.09611;0.15149;0.002;0;0;0;0;399;399;0;0;0
450;0;450;0;449;0.10757;0.18349;0.002;0;0;0;0;449;449;0;0;0
500;0;500;0;499;0.11;0.19472;0.002;0;0;0;0;499;499;0;0;0
550;0;550;0;549;0.12307;0.2459;0.002;0;0;0;0;549;549;0;0;0
600;0;600;0;599;0.1304;0.33525;0.002;0;0;0;0;599;599;0;0;0
650;0;650;0;649;0.14003;0.35296;0.002;0;0;0;0;649;649;0;0;0
700;0;700;0;699;0.15827;0.37181;0.002;0;0;0;0;699;699;0;0;0
750;0;750;0;749;0.16689;0.38966;0.002;0;0;0;0;749;749;0;0;0
800;0;800;0;799;0.21052;0.40687;0.002;0;0;0;0;799;799;0;0;0
850;0;850;0;849;0.1911;0.41548;0.002;0;0;0;0;849;849;0;0;0
900;0;900;0;899;0.20611;0.42303;0.002;0;0;0;0;899;899;0;0;0
950;0;950;0;949;0.2458;0.43674;0.002;0;0;0;0;949;949;0;0;0
1000;0;1000;0;999;0.22923;0.57324;0.002;0;0;0;0;999;999;0;0;0
1050;0;1050;0;1049;0.20589;1.55406;0.002;0;0;0;0;1049;1049;0;0;0
